encompass_id,name,action
9264,SPEEDWAY MARKET,create
9286,SPEEDY PIC #7,create
9319,7 ELEVEN #36559,create
9326,7 ELEVEN #36562,create
9334,7 ELEVEN #36577,create
9336,MOM'S #6,create
9343,STAGECOACH STOP,create
9353,MANOR FOOD MART #1,create
9356,STOP N EXPRESS,create
9358,CORNER STORE #2095,create
9364,STOP N GO #2169,create
9365,STOP N GO #2194,create
9366,VALERO #2420,create
9370,MI PUEBLITO #4,create
9375,SUNNY FOOD MART (HWY 71),create
9376,SUNNYS FOOD,create
9378,21 FOOD MART (HWY 21),create
9379,SUNRISE MINI MART (OLTORF ST),create
9385,SUNRISE MINI MART #8,create
9386,OAKS CORNER,create
9393,DOLLAR GENERAL #12642,create
9402,CEDAR MART (TAHITIAN DR),create
9413,ORANGE MARKET,create
9415,TERRYS CORNER,create
9428,7 ELEVEN #36267,create
9440,TEX BEST FUEL STOP #3,create
9449,BRUSH COUNTRY FOOD MART,create
9454,SHELL FOOD MART (W HWY 290),create
9461,SNACK N GO EXPRESS,create
9468,SHELL MINI MART#3,create
9476,TEXAN MARKET #7,create
9482,TEXAS MARKET,create
9490,THE POINT AT WEST POINT,create
9503,TOMGRO GROCERY,create
9505,TOMS LIQUORS,create
9515,MERITO FOOD MART,create
9526,TWIN CREEK GROCERY,create
9540,Z-MART,create
9541,CEDAR CREEK STORE (HWY 21),create
9543,DOLLAR GENERAL #12602,create
9553,U PAK M,create
9556,UTOTEM,create
9580,WALGREENS #1933,create
9583,WALGREENS #2462,create
9587,WALGREENS #10615,create
9588,WALGREENS #3341,create
9590,WALGREENS #3724,create
9592,WALGREENS #4458,create
9593,WALGREENS #4550,create
9595,WALGREENS #4704,create
9596,WALGREENS #4761,create
9602,WALGREENS #6050,create
9605,WALGREENS #6649,create
9609,WALGREENS #7023,create
9611,WALGREENS #7187,create
9616,WALGREENS #9143,create
9623,WEBBERVILLE GROCERY,create
9624,WEIKELS STORE & BAKERY,create
9633,WESTGATE GROCERY,create
9634,WEST LAKE MARKET,create
9635,WESTSIDE SHAMROCK,create
9643,WIMBERLEY SHAMROCK,create
9645,AZ FOOD MART (WIMBERLEY),create
9651,YELLOW STORE #3,create
9656,SPEEDY STOP #1219,create
9661,7 ELEVEN #36565,create
9694,TARGET #1953,create
9698,FIESTA #25,create
9699,HEB #161,create
9702,HEB #425,create
9703,HEB #465,create
9705,HEB #061 CENTRAL MARKET,create
9707,HEB #202,create
9713,RANDALL'S #2471,create
9716,RANDALL'S #2477,create
9720,TARGET #0096,create
9722,TARGET #1542,create
9723,WALMART SUPERCENTER #404,create
9724,WALMART SUPERCENTER #5317,create
9727,HEB #243,create
9729,HEB #404,create
9730,HEB #455,create
9731,HEB #477,create
9734,RANDALL'S #1779,create
9736,RANDALL'S #2485,create
9737,PRONTO FOOD,create
9738,TARGET #1061,create
9739,TARGET #1812,create
9740,WALMART SUPERCENTER #2133,create
9741,WALMART SUPERCENTER #1253,create
9745,HEB #227,create
9746,HEB #229,create
9747,HEB #420 CENTRAL MARKET,create
9748,HEB #428,create
9749,RANDALL'S #1850,create
9791,TIMEWISE #6001,create
9793,DELCO COUNTRY STORE,create
9796,JIMMY FOOD N GAS,create
9798,WALMART SUPERCENTER #846,create
9826,S W PARKWAY MARKET,create
9827,SCENIC BROOK FOOD MART,create
9828,STOP 71 FOOD MART,create
9830,LT COUNTRY MARKET,create
9835,BARTON HILLS MARKET,create
9851,ARAMARK - AUSTIN,create
9859,SCRUFFY'S 24 HR FOOD MART,create
9863,AUSTIN SHELL (N I 35),create
9869,DNC - RETAIL,create
9871,METS EXXON,create
9872,JIFFY SAK,create
9874,RUDYS COUNTRY STORE #4,create
9887,MINI MAX (FM 969),create
9888,FOREST BLUFF GROCERY,create
9894,MOM'S 8,create
9897,VARGAS FOOD STORE,create
9907,SAM'S CLUB #6259,create
9908,SAM'S CLUB #8259,create
9909,SAM'S CLUB #6453,create
9910,SAM'S CLUB #4720,create
9911,COSTCO #681,create
9914,7 ELEVEN #36564,create
9915,AARONS ROCK AND ROLL,create
9917,BLANCO ICE HOUSE,create
9922,FRESH PLUS #1,create
9923,FRESH PLUS #2,create
9928,HEB #068,create
9942,COSTCO #641,create
9943,LA FRESCO,create
9945,LA MORELIANA #2,create
9957,COUNTRY CORNER (WATTERSON RD),create
9970,PREMOS FOOD STORE,create
9988,DNC - HOSPITALITY SVCS,create
9993,LAKEWAY MARKETPLACE,create
9996,WALMART SUPERCENTER #4219,create
18867,HAMILTON MARKET,create
19029,2ND STREET MARKET,create
19032,TRI STAR #10,create
19047,SPECS LIQUORS (AIRPORT BLVD #60,create
19049,ROYAL BLUE GROCERY,create
19087,SPICEWOOD GENERAL STORE,create
19094,DIAMOND FOOD MART (MANOR RD),create
19095,CVS #0213,create
19104,SAM'S CLUB #4958,create
19116,SPEEDY STOP #105,create
19121,CVS #0080,create
19126,RED RIVER MARKET,create
19129,WHISKY LIQUOR,create
19134,WILD CAT #3,create
19136,FIESTA #64,create
19137,SPECS LIQUORS (HWY 290 #61,create
19139,HEB PLUS #14,create
19141,CVS #3881,create
19142,FIESTA CONV. #164,create
19148,FRESH-N-UP,create
19154,RAINBOW,create
19175,TARGET #2288,create
19179,WALGREENS #10839,create
19180,CHAMPS FOOD MART,create
19186,WALGREENS #10841,create
19192,ONION CREEK TEXACO,create
19196,STAR MART 16 #1940,create
19203,7 ELEVEN #39069,create
19205,CANTEEN VENDING,create
19207,SNACK MAX,create
19220,TINNIN FOOD MART,create
19223,STAR STOP #34,create
19225,QUAD FOOD MART,create
19226,WALGREENS #11513,create
19231,CVS #0059,create
19236,HEB #029,create
19239,MURPHY USA #7395,create
19241,WALMART SUPERCENTER #1154,create
19243,WALMART SUPERCENTER #1042,create
19246,BROOKSHIRE BROS #67,create
19247,BROOKSHIRE BROS #55,create
19250,HEB #561,create
19251,HEB #416,create
19254,HEB #582,create
19273,TEXAS ONE STOP,create
19279,WALGREENS #11272,create
19287,BREAD BASKET (PEARCE),create
19296,MCLIFF PARTNERS L.T.D.,create
19299,HYDE PARK MARKET,create
19300,CVS #3505,create
19301,BREAD BASKET (HWY 183),create
19308,ANA'S MART,create
19327,SUNRISE FOOD MART,create
19340,WEST CAMPUS FOOD MART,create
19347,COUNTRY MART,create
19349,OLTORF FOOD MART,create
19350,QUICK N SAVE,create
19361,SHACK FOOD CORNER,create
19383,SPEC LIQUOR (IH 35) #64,create
19387,TARGET #2438,create
19390,CLARKSVILLE MARKET,create
19393,CRAIGWOOD FOOD MART,create
19399,WALGREENS #11097,create
19400,WALGREENS #12521,create
19401,ROYAL BLUE #2,create
19403,DOLLAR GENERAL #3193,create
19404,DOLLAR GENERAL #3273,create
19405,DOLLAR GENERAL #3913,create
19408,DOLLAR GENERAL #10493,create
19409,DOLLAR GENERAL #6919,create
19410,DOLLAR GENERAL #7926,create
19411,DOLLAR GENERAL #9715,create
19412,DOLLAR GENERAL #9099,create
19414,DOLLAR GENERAL #5728,create
19415,DOLLAR GENERAL #9932,create
19419,DOLLAR GENERAL #10948,create
19420,DOLLAR GENERAL #10315,create
19425,DOLLAR GENERAL #3692,create
19427,DOLLAR GENERAL #10959,create
19432,DOLLAR GENERAL #6585,create
19433,DOLLAR GENERAL #1658,create
19442,DOLLAR GENERAL #10491,create
19443,DOLLAR GENERAL #6686,create
19444,DOLLAR GENERAL #7191,create
19445,DOLLAR GENERAL #3951,create
19446,DOLLAR GENERAL #3537,create
19449,DOLLAR GENERAL #6842,create
19450,DOLLAR GENERAL #8792,create
19455,MI PUEBLITO MARKET,create
19456,SPECS LIQUOR #38 (BASTROP),create
19457,WALGREENS #12029,create
19461,MI PUEBLETO MEAT MARKET,create
19463,TEJAS SMOKE DEPOT,create
19465,JETRO RESTAURANT DEPOT # 701(AUSTIN),create
19466,7 ELEVEN #34252,create
19470,FLATONIA FOOD MART,create
19473,CONGRESS EXPRESS,create
19476,CVS #5776,create
19477,KWIK CHEK #54,create
19479,KWIK CHEK #55,create
19482,BARTON HILL FOOD MART,create
19483,KWIK CHEK #57,create
19485,WALGREENS #12517,create
19488,AL'S FOOD MART (JEFFERSON ST),create
19490,TARGET #2725,create
19494,SPECS LIQUOR #65,create
19495,THIS & THAT,create
19497,MUSTANG FOOD MART,create
19498,ACADEMY #121,create
19499,STAR STOP #38,create
19501,BODEGA ON RIO,create
19506,UNION HERITAGE INC-THE CORNER,create
19515,FRESHVILLE MARKET #1,create
19518,KYLE FOOD MART_2,create
19520,MI RANCHO MEAT MARKET (POCO LOCO),create
19531,LA HACIENDIA,create
19533,HEB PLUS #91,create
19547,CVS #1430,create
19557,HWY 95 MARKET & DELI,create
19558,ATX FOOD MART,create
19564,CVS #1037,create
19565,RED ROCK FOOD MART,create
19566,HEB #611,create
19572,STOP & SAVE (BURTON DR),create
19573,SHOP N SAVE (WOODLAND AVE),create
19580,SNACK STOP #3,create
19591,WALGREENS #13444,create
19600,STAR STOP #50,create
19602,FOOD BOX #28,create
277798,BREAD BASKET (BUNTON CREEK),create
277823,DOLLAR GENERAL #12667,create
277830,LAKE BASTROP MINI MART,create
277859,BOBCAT QUICKIE,create
277869,CVS #7607,create
277939,HEB C-STORE #628,create
278048,JD'S MARKET #4,create
278091,CAPITOL VENDING,create
278095,MLK FOOD STORE (MLK BLVD),create
278101,DOLLAR GENERAL #12630,create
278139,BUENO MEXICAN MARKET,create
278144,WALGREENS #13588,create
